experiment_id,experiment_date,hypothesis,research_target,cohort_definition,market_regime,sample_size,outcome_horizon,tested_rule,main_result,winner_effect,big_loser_effect,mean_return_effect,robustness_result,original_conclusion,status,eligible_for_phase4,allowed_usage,source_files
P3G_STOCK_SURVIVAL_GATE,2026-07-28,Stock survival evidence is the primary source of stress loser control.,Policy attribution,Frozen A=246 and B=87,RISK_OFF,B selected=36 across 6 dates,Day10,Frozen survival predicate,"B loser rate fell from 44.8% to 25.0%, but safe rate was 75.0% and A winner recall only 27.3%.",Removed 16 of 22 A winners.,Directionally positive stress loser control.,Not validated for bull-market mean return.,Wilson interval wide; B had one winner and six dates.,PROVISIONAL_SURVIVAL_SIGNAL,WEAK,False,SHADOW_INFORMATION,docs/plans/phase3g/phase3g_report.md
P3G_MARKET_PLUS_SURVIVAL,2026-07-28,Market contraction adds protection above stock survival.,Policy attribution,Frozen A=246 and B=87,RISK_OFF,B selected=33 across 6 dates,Day10,Frozen market gate followed by survival gate,"B loser rate improved another 6.8pp to 18.2%, while A changed only from 15.2% to 16.2%.",Stress cohort had only one winner; bull winner retention not established.,Market increment confirmed for stress loser control.,Not a bull-market mean-return result.,Short stress window; later Phase 3I remained sample-pending.,MARKET_INCREMENT_CONFIRMED / LOSER_CONTROL_ONLY,WEAK,False,SHADOW_INFORMATION,docs/plans/phase3g/phase3g_report.md|docs/plans/phase3i/phase3i_final_decision.md
P3G_POCKET_INCREMENT,2026-07-28,Momentum pocket activity/durability adds value beyond survival.,Pocket attribution,Frozen A=246 and B=87,MIXED,A=246; B=87,Day10,"Pocket-only, pocket+survival, and durability quadrants",Pocket+survival did not beat survival; directions were inconsistent across A/B.,No incremental winner protection.,No incremental loser removal.,No incremental return evidence.,Later attribution directly rejected the earlier pocket interpretation.,NO_POCKET_INCREMENT,REJECT,False,NONE,docs/plans/phase3g/phase3g_report.md
P3G_EARLY_MARKET_TRANSITION,2026-07-28,A point-in-time composite can warn at least two sessions before the 7/8 deterioration.,Market transition timing,Pre-July false-alarm audit plus Dataset B,MIXED,B selected=50,Day10,Two-session persistent PROTECTIVE composite,Persistent signal was only one session earlier; false alarms remained and B loser rate was 40%.,A winner recall only 59.1%.,No adequate protection.,No positive return evidence.,Point-in-time replay explicitly failed the timing requirement.,NO_EARLY_SIGNAL,REJECT,False,NONE,docs/plans/phase3g/phase3g_report.md
P3G_POINT_IN_TIME_WATCHLIST,2026-07-28,Point-in-time lifecycle warnings/removals can become automatic actions.,Watchlist actionability,"2,038 point-in-time valid action rows",MIXED,2038,forward action-date outcome,WARNING and two-family persistent REMOVE,Warnings caught 67.1% of losers but prematurely warned 67.0% of winners; removals were also premature for 21.4% of winners.,Unacceptably high premature warning/removal.,Some early loser information.,No actionable economic value established.,Corrected the older outcome leakage; all rows were point-in-time valid.,NO_ACTIONABLE_SIGNAL,SHADOW_ONLY,False,SHADOW_INFORMATION,docs/plans/phase3g/phase3g_report.md
P3H_DAY0_POSITIVE_BUNDLES,2026-07-28,Fixed Day0 positive-structure bundles enrich normal-regime winners safely.,Bull Day0 compression,168 completed NORMAL episodes,NORMAL,168; winners=15,Day10 from entry,"D0-A, D0-B, D0-C fixed bundles",All Day0 bundles had loser rate above 20%; the nominally best dominance rule was not qualified.,Winner recall/dominance trade-off failed the formal gate.,Failed the required loser-rate gate.,No qualified mean-return rule.,Identification/locked split did not establish a qualifying Day0 filter.,No qualified Day0 policy,REJECT,False,NONE,docs/plans/phase3h/phase3h_report.md
P3H_DAY1_DAY3_CONFIRMATION,2026-07-28,Follow-through confirmation enriches normal-regime winners after entry.,Confirmation timing,168 completed NORMAL episodes plus locked evaluation slice,NORMAL,Best historical policy n=25; locked winner=1,Day10 after confirmation and remaining episode horizon,Fixed Day1 and Day3 confirmation bundles,"Historical Day3-A reached 25% winner dominance, but locked evaluation missed its sole winner; confirmation also incurred delay.",Provisional enrichment only; independent winner retention unconfirmed.,Not a validated Day0 loser-removal rule.,No independently confirmed return protection.,Small samples and locked slice failed to confirm generalization.,PROVISIONAL_WINNER_ENRICHMENT,WEAK,False,TIE_BREAK|SHADOW_INFORMATION,docs/plans/phase3h/phase3h_report.md
P3H_FIXED_TOPK,2026-07-28,A fixed momentum Top-K is a validated normal-regime compression threshold.,Top-K baseline,NORMAL comparison slices,NORMAL,Descriptive Top-K comparators,Day10,Top-K momentum baselines matched to policy coverage,Top-K was only a comparator; no fixed K passed a predeclared compression gate.,Not established.,Not established.,Not established.,No independent fixed-K validation.,Descriptive comparator only,SHADOW_ONLY,False,SHADOW_INFORMATION,docs/plans/phase3h/phase3h_report.md
P3I_NORMAL_FROZEN_BRANCH,2026-07-28,Frozen NORMAL Day1-C generalizes prospectively.,Independent shadow validation,Frozen Dataset C plus prospective rows,NORMAL,eligible=0; prospective=0,Day10,Frozen D0-A then Day1-C branch,No independent NORMAL sample was available.,Unknown.,Unknown.,Unknown.,"Predicate reproduced with zero mismatches, but outcome validation is pending.",NORMAL_PENDING_SAMPLE,INCOMPLETE,False,NONE,docs/plans/phase3i/phase3i_final_decision.md
P3I_RISK_FROZEN_BRANCH,2026-07-28,Frozen market+survival generalizes on new weak-market data.,Independent shadow validation,Dataset C existing pending plus prospective rows,RISK_OFF,selected=29; matured selected=5 from one date; prospective=0,Day10,Frozen market+survival branch,Early read was favorable but came from one matured date and no prospective rows.,Only one matured winner.,"Zero matured selected losers, early-read only.",Early-read only.,Predicate reproduced with zero mismatches; minimum sample not reached and input snapshot blocker remained.,RISK_PENDING_SAMPLE,INCOMPLETE,False,NONE,docs/plans/phase3i/phase3i_final_decision.md
